None
1 -0.058
2 -0.838
3 -0.374
4 0.100
5 0.503
6 0.319
7 0.077
8 0.090
9 -0.454
10 0.313
11 0.319
12 -0.425
13 -0.667
14 0.180
15 -0.048
16 -0.786
17 0.474
18 -0.300
19 -0.026
20 -0.322
21 -0.219
22 -0.129
23 0.267
24 -0.116
25 0.203
26 -0.512
27 0.284
28 -0.093
29 0.622
30 0.570
31 -0.042
32 0.023
33 -0.052
34 0.010
35 0.023
36 0.023
37 -0.026
38 -0.158
39 -0.058
40 -0.026
41 -0.042
42 -0.013
